,err_up,err_low,n,m
0,0.0018231540565177757,0.37892095357590966,10,10
1,-0.0018198362147406734,0.31850961538461536,10,10
2,0.0,0.3562130177514793,10,10
3,0.0,0.3525872442839952,10,10
4,0.0,0.34980494148244473,10,10
5,0.0,0.3378212974296206,10,10
6,0.0,0.33620689655172414,10,10
7,0.0,0.3289630512514899,10,10
8,0.0,0.325,10,10
9,0.0,0.3244613434727503,10,10
10,0.11782708492731446,0.5863192182410424,10,15
11,-0.1054072553045859,0.20460829493087557,10,15
12,0.0,0.4159919028340081,10,15
13,0.0,0.4036144578313253,10,15
14,0.03305785123966942,0.4409221902017291,10,15
15,0.0,0.3840725806451613,10,15
16,0.0,0.37863070539419086,10,15
17,0.0,0.3775023832221163,10,15
18,0.0,0.37690839694656486,10,15
19,0.0,0.3497164461247637,10,15
20,0.006658595641646489,0.3963056255247691,10,20
21,-0.00661455201443175,0.32371794871794873,10,20
22,0.0,0.38177533385703066,10,20
23,0.0,0.3763955342902711,10,20
24,0.0,0.35760517799352753,10,20
25,0.0,0.35027799841143764,10,20
26,0.0,0.3492857142857143,10,20
27,0.0,0.3413269384492406,10,20
28,0.0,0.340080971659919,10,20
29,0.0,0.3328125,10,20
30,-0.04460431654676259,0.2695984703632887,10,5
31,0.046686746987951805,0.2545126353790614,10,5
32,0.0,0.25539568345323743,10,5
33,0.0,0.23809523809523808,10,5
34,0.0,0.2336283185840708,10,5
35,0.0,0.23356401384083045,10,5
36,0.0,0.21231766612641814,10,5
37,0.0,0.20930232558139536,10,5
38,0.0,0.20246478873239437,10,5
39,0.0,0.20221169036334913,10,5
40,-0.028067885117493474,0.15426356589147286,20,10
41,0.0315648085963734,0.20093823299452698,20,10
42,0.0,0.1803405572755418,20,10
43,0.001256281407035176,0.17899408284023668,20,10
44,0.0048543689320388345,0.18189233278955955,20,10
45,0.0,0.1699489423778264,20,10
46,0.008883248730964468,0.1795252225519288,20,10
47,0.0006285355122564425,0.16801173881144535,20,10
48,0.0038119440914866584,0.16777531411677754,20,10
49,0.00392156862745098,0.17073170731707318,20,10
50,-0.03460743801652893,0.22557377049180327,20,15
51,0.04030091348737238,0.2812706816677697,20,15
52,0.0,0.24836173001310616,20,15
53,0.0,0.23743977976600136,20,15
54,0.0,0.23669849931787176,20,15
55,0.0,0.23599208965062624,20,15
56,0.0010204081632653062,0.23629489603024575,20,15
57,0.0,0.23435504469987228,20,15
58,0.0,0.23358158429248477,20,15
59,0.0,0.23174603174603176,20,15
60,-0.03127753303964758,0.2630672027570362,20,20
61,0.034106412005457026,0.312933025404157,20,20
62,0.0,0.2901307966706302,20,20
63,0.003513394817742644,0.2895033860045147,20,20
64,0.0,0.28486646884273,20,20
65,0.0008988764044943821,0.2828341013824885,20,20
66,0.0008729812309035355,0.2810055865921788,20,20
67,0.0,0.2784313725490196,20,20
68,0.0013774104683195593,0.27768014059753954,20,20
69,0.0004248088360237893,0.27228525121555913,20,20
70,0.04278523489932886,0.13515981735159818,20,5
71,-0.039420756234915526,0.02577319587628866,20,5
72,0.0,0.08695652173913043,20,5
73,0.0015117157974300832,0.08251633986928104,20,5
74,0.0,0.07640878701050621,20,5
75,0.0,0.07636655948553055,20,5
76,0.0,0.07243460764587525,20,5
77,0.0,0.07050092764378478,20,5
78,0.0,0.06990291262135923,20,5
79,0.0,0.06986190089358245,20,5
80,-0.0051440329218107,0.12376525276002324,30,10
81,0.020365535248041775,0.13472706155632985,30,10
82,0.002859866539561487,0.13118279569892474,30,10
83,0.03225806451612903,0.15455035002692516,30,10
84,0.012339331619537276,0.12707498568975387,30,10
85,0.019278299555116164,0.1342134213421342,30,10
86,0.011257953989231522,0.12896174863387977,30,10
87,0.014234875444839857,0.12903225806451613,30,10
88,0.006329113924050633,0.12169312169312169,30,10
89,0.009958071278825996,0.12558411214953272,30,10
90,0.015539689206215875,0.2096048024012006,30,15
