,err_up,err_low,n,m
0,0.0018231540565177757,0.37892095357590966,10,10
1,-0.0018198362147406734,0.31850961538461536,10,10
2,0.0,0.3562130177514793,10,10
3,0.0,0.3525872442839952,10,10
4,0.0,0.34980494148244473,10,10
5,0.0,0.3378212974296206,10,10
6,0.0,0.33620689655172414,10,10
7,0.0,0.3289630512514899,10,10
8,0.0,0.325,10,10
9,0.0,0.3244613434727503,10,10
10,0.11782708492731446,0.5863192182410424,10,15
11,-0.1054072553045859,0.20460829493087557,10,15
12,0.0,0.4159919028340081,10,15
13,0.0,0.4036144578313253,10,15
14,0.0,0.39481268011527376,10,15
15,0.0,0.3840725806451613,10,15
16,0.0,0.37863070539419086,10,15
17,0.0,0.3775023832221163,10,15
18,0.0,0.37690839694656486,10,15
19,0.0,0.3497164461247637,10,15
20,0.006658595641646489,0.3963056255247691,10,20
21,-0.00661455201443175,0.32371794871794873,10,20
22,0.0,0.38177533385703066,10,20
23,0.0,0.3763955342902711,10,20
24,0.0,0.35760517799352753,10,20
25,0.0,0.35027799841143764,10,20
26,0.0,0.3492857142857143,10,20
27,0.0,0.3413269384492406,10,20
28,0.0,0.340080971659919,10,20
29,0.0,0.3328125,10,20
30,-0.04460431654676259,0.2695984703632887,10,5
31,0.046686746987951805,0.2545126353790614,10,5
32,0.0,0.25539568345323743,10,5
33,0.0,0.23809523809523808,10,5
34,0.0,0.2336283185840708,10,5
35,0.0,0.23356401384083045,10,5
36,0.0,0.21231766612641814,10,5
37,0.0,0.20930232558139536,10,5
38,0.0,0.20246478873239437,10,5
39,0.0,0.20221169036334913,10,5
40,-0.028067885117493474,0.15426356589147286,20,10
41,0.03022162525184688,0.19937451133698203,20,10
42,0.0,0.1803405572755418,20,10
43,0.001256281407035176,0.17899408284023668,20,10
44,0.0,0.1761827079934747,20,10
45,0.0,0.1699489423778264,20,10
46,0.0019035532994923859,0.17136498516320475,20,10
47,0.0018856065367693275,0.169479090242113,20,10
48,0.0038119440914866584,0.16777531411677754,20,10
49,0.00392156862745098,0.17073170731707318,20,10
50,-0.0371900826446281,0.22229508196721312,20,15
51,0.04030091348737238,0.2812706816677697,20,15
52,0.0,0.24836173001310616,20,15
53,0.0,0.23743977976600136,20,15
54,0.0,0.23669849931787176,20,15
55,0.0005333333333333334,0.23665128543177325,20,15
56,0.0010204081632653062,0.23629489603024575,20,15
57,0.0,0.23435504469987228,20,15
58,0.0,0.23358158429248477,20,15
59,0.0,0.23174603174603176,20,15
60,-0.03127753303964758,0.2630672027570362,20,20
61,0.03365165984538426,0.3123556581986143,20,20
62,0.002304147465437788,0.29310344827586204,20,20
63,0.003513394817742644,0.2895033860045147,20,20
64,0.0,0.28486646884273,20,20
65,0.0,0.2816820276497696,20,20
66,0.0,0.2798882681564246,20,20
67,0.0,0.2784313725490196,20,20
68,0.0013774104683195593,0.27768014059753954,20,20
69,0.001274426508071368,0.27336574824419235,20,20
70,0.04278523489932886,0.13515981735159818,20,5
71,-0.04022526146419952,0.02491408934707904,20,5
72,0.0,0.08695652173913043,20,5
73,0.0,0.08088235294117647,20,5
74,0.0008873114463176575,0.07736389684813753,20,5
75,0.0,0.07636655948553055,20,5
76,0.0,0.07243460764587525,20,5
77,0.0,0.07050092764378478,20,5
78,0.0,0.06990291262135923,20,5
79,0.0,0.06986190089358245,20,5
80,-0.00257201646090535,0.12667054038349795,30,10
81,0.028198433420365536,0.14343786295005806,30,10
82,0.011916110581506196,0.14139784946236558,30,10
83,0.01781415503129514,0.13839526117393647,30,10
84,0.02673521850899743,0.14310246136233543,30,10
85,0.015818091942659415,0.13036303630363036,30,10
86,0.017131669114047968,0.1355191256830601,30,10
87,0.017793594306049824,0.13299377475947935,30,10
88,0.01529535864978903,0.13168724279835392,30,10
89,0.012054507337526206,0.12792056074766356,30,10
90,0.021839563208735827,0.21710855427713857,30,15
